entity,time,x,y,z,p,r,t,w
vicon-crazyflie8,1761612126.492376,0.01191968284547329,0.09064844250679016,0.037379879504442215,-0.003609134117141366,-0.01603712886571884,-0.00835993979126215,0.9998299479484558
vicon-crazyflie8,1761612126.5010257,0.011925330385565758,0.09064996987581253,0.037343986332416534,-0.0037661639507859945,-0.01585720106959343,-0.0084155835211277,0.9998317360877991
vicon-crazyflie8,1761612126.5115454,0.011929401196539402,0.09065137803554535,0.03733573853969574,-0.0038761014584451914,-0.01587153598666191,-0.008532905951142311,0.9998301267623901
vicon-crazyflie8,1761612126.5247543,0.011939840391278267,0.0906403660774231,0.03736129775643349,-0.0044888039119541645,-0.015479719266295433,-0.008736463263630867,0.9998319149017334
vicon-crazyflie8,1761612126.5298126,0.01194379385560751,0.09063705801963806,0.03737971559166908,-0.0036380209494382143,-0.016242017969489098,-0.0085164038464427,0.9998251795768738
vicon-crazyflie8,1761612126.540484,0.011920006014406681,0.09063307195901871,0.037415046244859695,-0.003279228927567601,-0.01533763948827982,-0.008341250009834766,0.9998422265052795
vicon-crazyflie8,1761612126.5501225,0.011896300129592419,0.09062907844781876,0.03740308806300163,-0.002751381369307637,-0.01518947072327137,-0.007910880260169506,0.9998495578765869
vicon-crazyflie8,1761612126.559886,0.0118861710652709,0.09063234180212021,0.037378665059804916,-0.0026544476859271526,-0.013448159210383892,-0.008352897129952908,0.9998711347579956
vicon-crazyflie8,1761612126.569906,0.011893745511770248,0.09062481671571732,0.037378810346126556,-0.002330503659322858,-0.014928240329027176,-0.008136824704706669,0.99985271692276
vicon-crazyflie8,1761612126.584825,0.011910824105143547,0.09063568711280823,0.03739893063902855,-0.0030990305822342634,-0.01593262515962124,-0.008121036924421787,0.9998353123664856
vicon-crazyflie8,1761612126.5899029,0.011923485435545444,0.0906362235546112,0.03739364817738533,-0.0023343751672655344,-0.015630453824996948,-0.00820060446858406,0.9998415112495422
vicon-crazyflie8,1761612126.5997014,0.011917587369680405,0.09064842760562897,0.03741304203867912,-0.0033585524652153254,-0.015159291215240955,-0.008500387892127037,0.9998432993888855
