entity,time,x,y,z,p,r,t,w
vicon-crazyflie8,1761611605.7422311,0.005838395562022924,0.012163007631897926,0.038816992193460464,-0.0072774323634803295,-0.02186340093612671,0.007462295703589916,0.9997066259384155
vicon-crazyflie8,1761611605.7517474,0.005819486919790506,0.012168881483376026,0.038817744702100754,-0.0072875237092375755,-0.02162785269320011,0.007461013272404671,0.9997116923332214
vicon-crazyflie8,1761611605.7671964,0.005780796054750681,0.012183869257569313,0.038849372416734695,-0.00740901380777359,-0.021032903343439102,0.007563031278550625,0.9997227191925049
vicon-crazyflie8,1761611605.7841816,0.005780082195997238,0.012168223038315773,0.03884435072541237,-0.0076026213355362415,-0.02112486958503723,0.007611757144331932,0.999718964099884
vicon-crazyflie8,1761611605.7918246,0.005806964822113514,0.01215395424515009,0.03883959725499153,-0.007024890277534723,-0.020876294001936913,0.0077191549353301525,0.9997276067733765
vicon-crazyflie8,1761611605.8022988,0.005832478869706392,0.012146024964749813,0.038842909038066864,-0.007259959354996681,-0.020912259817123413,0.0072924052365124226,0.9997283816337585
vicon-crazyflie8,1761611605.8135858,0.005837997421622276,0.012114407494664192,0.03877895325422287,-0.006940573453903198,-0.020181266590952873,0.007096263114362955,0.9997470378875732
vicon-crazyflie8,1761611605.8217676,0.0058337626978755,0.01214014645665884,0.03878010809421539,-0.007075185887515545,-0.02226601541042328,0.00728576397523284,0.9997004866600037
vicon-crazyflie8,1761611605.8317888,0.005825786851346493,0.01213769894093275,0.03876688703894615,-0.0076421950943768024,-0.021967366337776184,0.007822266779839993,0.9996988773345947
vicon-crazyflie8,1761611605.8418853,0.005856101401150227,0.012123444117605686,0.038792189210653305,-0.006450646091252565,-0.021944941952824593,0.007360701449215412,0.999711275100708
vicon-crazyflie8,1761611605.8519664,0.005870524328202009,0.012107841670513153,0.0387638658285141,-0.007057733368128538,-0.021796924993395805,0.007467206101864576,0.9997096061706543
vicon-crazyflie8,1761611605.8618636,0.005840248428285122,0.012125224806368351,0.03880542889237404,-0.007329475600272417,-0.022537391632795334,0.007553330156952143,0.999690592288971
vicon-crazyflie8,1761611605.871457,0.005805583205074072,0.012152625247836113,0.038813021034002304,-0.006815770175307989,-0.02167857438325882,0.007707355543971062,0.9997120499610901
vicon-crazyflie8,1761611605.881887,0.005806162022054195,0.012151305563747883,0.03881576657295227,-0.006511608138680458,-0.021948624402284622,0.007446154952049255,0.9997101426124573
vicon-crazyflie8,1761611605.891773,0.005778296384960413,0.01217629387974739,0.03882485255599022,-0.006758518982678652,-0.02046135440468788,0.007491020485758781,0.9997397065162659
vicon-crazyflie8,1761611605.9022617,0.005807181354612112,0.012182628735899925,0.03884468600153923,-0.0062210350297391415,-0.020934637635946274,0.007674213033169508,0.9997320175170898
vicon-crazyflie8,1761611605.912772,0.005805352237075567,0.012179293669760227,0.038846321403980255,-0.007325916551053524,-0.02124164253473282,0.007238331250846386,0.999721348285675
vicon-crazyflie8,1761611605.9216647,0.005821306258440018,0.01218454446643591,0.03883069008588791,-0.007118621841073036,-0.021690096706151962,0.007233030162751675,0.9997132420539856
vicon-crazyflie8,1761611605.933331,0.005823901388794184,0.012177846394479275,0.0387936532497406,-0.006803345400840044,-0.021671902388334274,0.00718266936019063,0.9997161626815796
vicon-crazyflie8,1761611605.9416058,0.005840286612510681,0.01217217929661274,0.03877439349889755,-0.006825811229646206,-0.02229829505085945,0.007181760389357805,0.9997022747993469
vicon-crazyflie8,1761611605.9531567,0.005845361854881048,0.01215093769133091,0.03875820338726044,-0.006948255468159914,-0.021938925608992577,0.007129739038646221,0.9997097253799438
vicon-crazyflie8,1761611605.961758,0.00585076492279768,0.012136293575167656,0.03878064081072807,-0.007166890427470207,-0.0221879780292511,0.007365880999714136,0.9997009634971619
vicon-crazyflie8,1761611605.9762163,0.005840636324137449,0.0121500538662076,0.03882336616516113,-0.007571286056190729,-0.021467162296175957,0.0073936316184699535,0.9997135400772095
vicon-crazyflie8,1761611605.9816933,0.005817646626383066,0.012165023945271969,0.038825150579214096,-0.00706822844222188,-0.02185329981148243,0.0077208238653838634,0.9997063875198364
vicon-crazyflie8,1761611605.9920633,0.005813314113765955,0.012126591987907887,0.038799483329057693,-0.006736584939062595,-0.022586489096283913,0.007723412476480007,0.9996923804283142
vicon-crazyflie8,1761611606.0035758,0.005767693743109703,0.012165001593530178,0.03885989636182785,-0.006602716166526079,-0.020821653306484222,0.007586287334561348,0.9997326135635376
vicon-crazyflie8,1761611606.0152228,0.005789047107100487,0.012135839089751244,0.038864318281412125,-0.007056562229990959,-0.020383112132549286,0.007346524391323328,0.9997403621673584
vicon-crazyflie8,1761611606.0218322,0.005803896114230156,0.012148543260991573,0.03886406496167183,-0.006423634942620993,-0.02109540067613125,0.008032231591641903,0.9997245669364929
vicon-crazyflie8,1761611606.031564,0.005816420074552298,0.012147767469286919,0.03883947804570198,-0.0070797111839056015,-0.021187789738178253,0.007865704596042633,0.999719500541687
vicon-crazyflie8,1761611606.041919,0.005827289540320635,0.012150878086686134,0.03881064057350159,-0.006500708404928446,-0.022165929898619652,0.007534519303590059,0.9997047781944275
vicon-crazyflie8,1761611606.0518456,0.005819233600050211,0.012167176231741905,0.03880095109343529,-0.006975335069000721,-0.02235179953277111,0.007643430959433317,0.9996966123580933
vicon-crazyflie8,1761611606.0617623,0.00583655247464776,0.012152103707194328,0.03878027945756912,-0.006950388662517071,-0.022144941613078117,0.007141526322811842,0.9997050762176514
vicon-crazyflie8,1761611606.075823,0.005865486338734627,0.01214716024696827,0.038744598627090454,-0.006652706768363714,-0.02256500907242298,0.007159173022955656,0.9996976256370544
vicon-crazyflie8,1761611606.0815475,0.00584739213809371,0.012158169411122799,0.038789182901382446,-0.007412307430058718,-0.02234495058655739,0.007245288230478764,0.9996966123580933
vicon-crazyflie8,1761611606.0917432,0.005847943015396595,0.012140545062720776,0.03876107931137085,-0.0066180420108139515,-0.02059202268719673,0.006605513393878937,0.9997442364692688
vicon-crazyflie8,1761611606.1016893,0.0058249798603355885,0.01216917484998703,0.03880959749221802,-0.0071426937356591225,-0.022155089303851128,0.007606341503560543,0.9997000694274902
vicon-crazyflie8,1761611606.111469,0.005794974975287914,0.012169856578111649,0.03882172703742981,-0.00692516565322876,-0.021691249683499336,0.0072024911642074585,0.9997147917747498
vicon-crazyflie8,1761611606.1218853,0.005764189641922712,0.012192444875836372,0.03884804621338844,-0.007307329215109348,-0.02116444520652294,0.007672502193599939,0.9997198581695557
vicon-crazyflie8,1761611606.1313922,0.005773873999714851,0.01218145526945591,0.03885805606842041,-0.006461882498115301,-0.02101566642522812,0.007776279468089342,0.9997280240058899
vicon-crazyflie8,1761611606.1415627,0.005793882999569178,0.012179475277662277,0.03885723277926445,-0.006682818289846182,-0.02143630012869835,0.007817260921001434,0.9997172951698303
vicon-crazyflie8,1761611606.1514835,0.005817767698317766,0.01215257216244936,0.038815855979919434,-0.0067817880772054195,-0.022318905219435692,0.007834985852241516,0.999697208404541
vicon-crazyflie8,1761611606.1616457,0.0058079669252038,0.012147377245128155,0.03881491348147392,-0.0069097187370061874,-0.021491780877113342,0.007695963606238365,0.9997155070304871
vicon-crazyflie8,1761611606.178215,0.0058400738053023815,0.012127961963415146,0.038801684975624084,-0.006854640785604715,-0.02214859426021576,0.007203944493085146,0.9997052550315857
vicon-crazyflie8,1761611606.1818626,0.0058332327753305435,0.012116195634007454,0.03877640515565872,-0.006963562220335007,-0.0209665410220623,0.0072034187614917755,0.9997299909591675
vicon-crazyflie8,1761611606.1917138,0.005849235691130161,0.0121231097728014,0.03877304121851921,-0.007047618273645639,-0.02317986637353897,0.008046796545386314,0.9996740818023682
vicon-crazyflie8,1761611606.2017493,0.005844630766659975,0.012116830796003342,0.03877847641706467,-0.007628722116351128,-0.022459061816334724,0.007420424837619066,0.9996911287307739
vicon-crazyflie8,1761611606.2113743,0.005836445838212967,0.012138446792960167,0.03880179300904274,-0.00689841341227293,-0.02156934328377247,0.00738799711689353,0.9997162818908691
vicon-crazyflie8,1761611606.2230523,0.005811831448227167,0.012139943428337574,0.03880518674850464,-0.006776770576834679,-0.020854756236076355,0.007017850875854492,0.9997349381446838
vicon-crazyflie8,1761611606.2314737,0.005767558701336384,0.012165362946689129,0.038829609751701355,-0.007404510397464037,-0.02091921493411064,0.007762380875647068,0.9997236132621765
vicon-crazyflie8,1761611606.2414405,0.005782692227512598,0.0121665820479393,0.03885176405310631,-0.007145124487578869,-0.02132311649620533,0.007567551452666521,0.9997184872627258
vicon-crazyflie8,1761611606.2514045,0.00577198714017868,0.012178708799183369,0.03885050117969513,-0.006896807346493006,-0.020678792148828506,0.007478162180632353,0.9997344017028809
vicon-crazyflie8,1761611606.261539,0.005803885869681835,0.012177960015833378,0.03879086300730705,-0.007041470147669315,-0.02074725367128849,0.007589943241328001,0.9997311234474182
vicon-crazyflie8,1761611606.2718544,0.005822243634611368,0.012173658236861229,0.03881704807281494,-0.006974725518375635,-0.021651480346918106,0.007443243637681007,0.9997135400772095
vicon-crazyflie8,1761611606.2815146,0.005831792019307613,0.012161771766841412,0.038811035454273224,-0.0074560078792274,-0.02115320786833763,0.006578817032277584,0.9997267723083496
vicon-crazyflie8,1761611606.291504,0.0058404915034770966,0.012162824161350727,0.038793642073869705,-0.0075465538538992405,-0.021786903962492943,0.007237367331981659,0.9997079372406006
vicon-crazyflie8,1761611606.3015826,0.005845723673701286,0.012154504656791687,0.038767531514167786,-0.007342467550188303,-0.022477202117443085,0.0074448902159929276,0.9996926784515381
vicon-crazyflie8,1761611606.3118293,0.00582135608419776,0.012155229225754738,0.03879274055361748,-0.008209212683141232,-0.021692316979169846,0.007292232010513544,0.9997044205665588
vicon-crazyflie8,1761611606.3222864,0.005836733151227236,0.012154284864664078,0.03878026455640793,-0.007137307431548834,-0.02207978442311287,0.007441708818078041,0.999703049659729
vicon-crazyflie8,1761611606.3315248,0.005818349774926901,0.012136995792388916,0.03881730139255524,-0.007655034773051739,-0.021626757457852364,0.0073327734135091305,0.9997099041938782
vicon-crazyflie8,1761611606.3416016,0.005818615201860666,0.01213820930570364,0.03883978724479675,-0.0067586759105324745,-0.021017486229538918,0.007469508331269026,0.9997283816337585
vicon-crazyflie8,1761611606.351668,0.005791523028165102,0.012158372439444065,0.038865529000759125,-0.006502971518784761,-0.0211096853017807,0.007883728481829166,0.9997249245643616
