entity,time,x,y,z,p,r,t,w
vicon-crazyflie8,1761611425.9394639,0.023953601717948914,0.04822542890906334,0.038260310888290405,-0.0021319910883903503,-0.018557915464043617,0.04113743454217911,0.998978853225708
vicon-crazyflie8,1761611425.948896,0.02394844964146614,0.04821751266717911,0.03824940323829651,-0.001697706407867372,-0.018372569233179092,0.041195567697286606,0.998980700969696
vicon-crazyflie8,1761611425.959524,0.023957056924700737,0.04821476340293884,0.038244087249040604,-0.0023075100034475327,-0.01817193813621998,0.041120052337646484,0.9989863038063049
vicon-crazyflie8,1761611425.9701111,0.02396458014845848,0.048199333250522614,0.03826344013214111,-0.0017921013059094548,-0.017736118286848068,0.040963564068078995,0.9990016222000122
vicon-crazyflie8,1761611425.980256,0.023953402414917946,0.048195745795965195,0.038293857127428055,-0.0017655401024967432,-0.01783643290400505,0.041273701936006546,0.998987078666687
vicon-crazyflie8,1761611425.9964478,0.02395273558795452,0.04819561541080475,0.038270071148872375,-0.001485430751927197,-0.018409617245197296,0.041472528129816055,0.9989688992500305
vicon-crazyflie8,1761611425.999006,0.02393990382552147,0.04819359630346298,0.03826573118567467,-0.0021753038745373487,-0.01726437732577324,0.040937624871730804,0.9990101456642151
vicon-crazyflie8,1761611426.0090191,0.02394847199320793,0.04819398745894432,0.03826557844877243,-0.0018832242349162698,-0.01811934821307659,0.04121704772114754,0.998984158039093
vicon-crazyflie8,1761611426.019212,0.023957984521985054,0.04819554463028908,0.03826474770903587,-0.0019585187546908855,-0.017212800681591034,0.040941059589385986,0.9990113973617554
vicon-crazyflie8,1761611426.0290332,0.023957734927535057,0.04820965975522995,0.038286127150058746,-0.0018489403882995248,-0.01787516660988331,0.041123632341623306,0.9989924430847168
vicon-crazyflie8,1761611426.041918,0.023947356268763542,0.048199646174907684,0.03826690837740898,-0.0015390096232295036,-0.01802695170044899,0.041094519197940826,0.9989914298057556
vicon-crazyflie8,1761611426.0508163,0.023955652490258217,0.04821951687335968,0.038251880556344986,-0.001410524477250874,-0.01855503022670746,0.041763707995414734,0.9989542365074158
vicon-crazyflie8,1761611426.0579894,0.023961622267961502,0.04822644591331482,0.038264960050582886,-0.001547714346088469,-0.01852414943277836,0.0415300615131855,0.9989643096923828
vicon-crazyflie8,1761611426.0685842,0.023958643898367882,0.04822108894586563,0.0382707342505455,-0.0017496616346761584,-0.018069596961140633,0.04107547178864479,0.9989911317825317
vicon-crazyflie8,1761611426.078005,0.02396397665143013,0.048221807926893234,0.03828141465783119,-0.0016169951995834708,-0.018424611538648605,0.04154602438211441,0.9989653825759888
vicon-crazyflie8,1761611426.0879598,0.0239538736641407,0.04821629822254181,0.038279950618743896,-0.0014935069484636188,-0.018171291798353195,0.04128412902355194,0.9989810585975647
vicon-crazyflie8,1761611426.0989077,0.023933662101626396,0.04823031276464462,0.03827322646975517,-0.001990571850910783,-0.01871989481151104,0.04110080003738403,0.9989776611328125
vicon-crazyflie8,1761611426.1079483,0.023939035832881927,0.048189979046583176,0.038264792412519455,-0.001948391436599195,-0.01817610114812851,0.04082878306508064,0.9989989399909973
vicon-crazyflie8,1761611426.1184435,0.02394033782184124,0.048208724707365036,0.038301948457956314,-0.0018992427503690124,-0.017752671614289284,0.04110678657889366,0.9989952445030212
vicon-crazyflie8,1761611426.1279213,0.02395123988389969,0.048201482743024826,0.0382893830537796,-0.001586973201483488,-0.018266277387738228,0.04125981405377388,0.9989802241325378
vicon-crazyflie8,1761611426.1382463,0.02394612692296505,0.04820159822702408,0.0382709801197052,-0.001769187394529581,-0.01841236650943756,0.04084599390625954,0.9989942312240601
vicon-crazyflie8,1761611426.1543677,0.023958822712302208,0.04819580912590027,0.03826229274272919,-0.001978997839614749,-0.018011266365647316,0.04102940484881401,0.9989936351776123
vicon-crazyflie8,1761611426.1580508,0.0239469762891531,0.048201970756053925,0.03825598582625389,-0.002142158104106784,-0.01840532384812832,0.04101826995611191,0.998986542224884
vicon-crazyflie8,1761611426.1689556,0.023947522044181824,0.04820230230689049,0.03827463090419769,-0.0016668993048369884,-0.01849254220724106,0.04111766070127487,0.998981773853302
vicon-crazyflie8,1761611426.1790698,0.023961229249835014,0.04818497598171234,0.03826890140771866,-0.001186105073429644,-0.017714347690343857,0.04152496159076691,0.9989796876907349
vicon-crazyflie8,1761611426.1892047,0.023958224803209305,0.04820118844509125,0.03829018771648407,-0.0017620415892452002,-0.01870846003293991,0.04123051464557648,0.9989729523658752
vicon-crazyflie8,1761611426.2011282,0.02395637519657612,0.04819122329354286,0.03828124701976776,-0.0014993518125265837,-0.01856950856745243,0.04177464544773102,0.9989533424377441
vicon-crazyflie8,1761611426.208867,0.023929020389914513,0.048194386065006256,0.03826681151986122,-0.0021308716386556625,-0.018075933679938316,0.040885161608457565,0.9989980459213257
vicon-crazyflie8,1761611426.2195415,0.02393265627324581,0.048192549496889114,0.03825937584042549,-0.001922398922033608,-0.01846991293132305,0.04100925102829933,0.9989861845970154
vicon-crazyflie8,1761611426.229077,0.02394385077059269,0.04821063578128815,0.038287997245788574,-0.0018993914127349854,-0.018759090453386307,0.04132974520325661,0.9989676475524902
vicon-crazyflie8,1761611426.238988,0.023963192477822304,0.04818754270672798,0.03826715797185898,-0.0016594898188486695,-0.018401645123958588,0.04133614897727966,0.9989744424819946
vicon-crazyflie8,1761611426.2552085,0.023956358432769775,0.04822589457035065,0.03828290104866028,-0.001927515841089189,-0.018501486629247665,0.041068509221076965,0.9989831447601318
vicon-crazyflie8,1761611426.2582579,0.023969899863004684,0.04820229485630989,0.0382424034178257,-0.0019520178902894258,-0.01800675131380558,0.04112750291824341,0.9989897012710571
vicon-crazyflie8,1761611426.2681656,0.023961368948221207,0.04821541905403137,0.03825923055410385,-0.002251056954264641,-0.01825595833361149,0.04092397540807724,0.998992919921875
vicon-crazyflie8,1761611426.2782674,0.0239556897431612,0.0482100285589695,0.03824656456708908,-0.0021902399603277445,-0.0178272295743227,0.04096170514822006,0.9989992380142212
vicon-crazyflie8,1761611426.2888784,0.023967469111084938,0.04820389300584793,0.03825954720377922,-0.0015790814068168402,-0.017940301448106766,0.0409749373793602,0.9989978671073914
vicon-crazyflie8,1761611426.3002973,0.02397102490067482,0.0482054241001606,0.03826539218425751,-0.0018630429403856397,-0.018450681120157242,0.0410623699426651,0.9989844560623169
vicon-crazyflie8,1761611426.309415,0.023963335901498795,0.048195887356996536,0.038266461342573166,-0.002309535164386034,-0.0175344068557024,0.04103311896324158,0.9990012645721436
vicon-crazyflie8,1761611426.3190715,0.023940466344356537,0.04820769280195236,0.038280587643384933,-0.001977411098778248,-0.01744619570672512,0.040816690772771835,0.9990123510360718
vicon-crazyflie8,1761611426.3291264,0.023934131488204002,0.048216529190540314,0.038280289620161057,-0.0024133941624313593,-0.01743382401764393,0.04105055704712868,0.9990020394325256
vicon-crazyflie8,1761611426.33924,0.02393217384815216,0.04819473996758461,0.038306187838315964,-0.0016133526805788279,-0.01777968741953373,0.04103318229317665,0.9989982843399048
vicon-crazyflie8,1761611426.3488848,0.02394629642367363,0.04819394275546074,0.03831540420651436,-0.0016451248666271567,-0.018163874745368958,0.04125232994556427,0.998982310295105
vicon-crazyflie8,1761611426.3590555,0.02394181489944458,0.04818800464272499,0.0383080430328846,-0.0018173378193750978,-0.017315587028861046,0.041036490350961685,0.999005913734436
vicon-crazyflie8,1761611426.3688548,0.02394265867769718,0.04819635674357414,0.038294292986392975,-0.0017118771793320775,-0.018414190039038658,0.04108346253633499,0.9989845752716064
vicon-crazyflie8,1761611426.379648,0.023945404216647148,0.04819333553314209,0.03827710077166557,-0.0021070223301649094,-0.018144531175494194,0.04114391654729843,0.9989862442016602
vicon-crazyflie8,1761611426.38887,0.023947739973664284,0.04819678142666817,0.038256119936704636,-0.001972443424165249,-0.01784217171370983,0.04123928025364876,0.9989880323410034
vicon-crazyflie8,1761611426.4068134,0.023950686678290367,0.04819595068693161,0.038257211446762085,-0.001769751776009798,-0.018009787425398827,0.04116227477788925,0.9989885687828064
vicon-crazyflie8,1761611426.4089298,0.023964164778590202,0.04819335415959358,0.038268670439720154,-0.001976298401132226,-0.01777948997914791,0.04086894541978836,0.9990043640136719
vicon-crazyflie8,1761611426.4190638,0.02396443858742714,0.04820041358470917,0.03827404975891113,-0.0023125852458178997,-0.018182581290602684,0.04092041030526161,0.9989942908287048
vicon-crazyflie8,1761611426.4288707,0.023950863629579544,0.04821111634373665,0.0382569320499897,-0.00199551391415298,-0.01856904663145542,0.041070014238357544,0.9989817142486572
vicon-crazyflie8,1761611426.439101,0.023957114666700363,0.04820858687162399,0.03825700283050537,-0.0019534325692802668,-0.017945127561688423,0.041386350989341736,0.9989801645278931
vicon-crazyflie8,1761611426.448823,0.023928925395011902,0.04819568246603012,0.03828023374080658,-0.0018091853708028793,-0.018539516255259514,0.04113032668828964,0.9989801049232483
vicon-crazyflie8,1761611426.4649184,0.023945676162838936,0.0481966994702816,0.038296762853860855,-0.0021599140018224716,-0.018449503928422928,0.04079921543598175,0.9989947080612183
vicon-crazyflie8,1761611426.4691417,0.02394941821694374,0.04821106418967247,0.03832037001848221,-0.0017057412769645452,-0.019198909401893616,0.04135417565703392,0.9989586472511292
vicon-crazyflie8,1761611426.4787674,0.023940883576869965,0.04819585010409355,0.03830419108271599,-0.0019849250093102455,-0.018731655552983284,0.041295234113931656,0.9989694356918335
vicon-crazyflie8,1761611426.4889045,0.02394459769129753,0.048198357224464417,0.038263801485300064,-0.0021273712627589703,-0.018644636496901512,0.04122887924313545,0.9989734888076782
vicon-crazyflie8,1761611426.4988787,0.023949863389134407,0.04818781465291977,0.038253605365753174,-0.002135900082066655,-0.018232369795441628,0.04122524708509445,0.998981237411499
vicon-crazyflie8,1761611426.5088658,0.02395380102097988,0.04819003492593765,0.038275353610515594,-0.0020649575162678957,-0.01770147681236267,0.041066959500312805,0.9989974498748779
vicon-crazyflie8,1761611426.51916,0.02396722510457039,0.04818935692310333,0.03828907757997513,-0.0012680684449151158,-0.01843968592584133,0.04130157455801964,0.9989757537841797
