entity,time,x,y,z,p,r,t,w
vicon-crazyflie8,1761610719.353374,0.020515229552984238,0.01867567002773285,0.03916964679956436,-0.02042723260819912,-0.010476791299879551,0.01581646129488945,0.9996113181114197
vicon-crazyflie8,1761610719.3609378,0.020500468090176582,0.018671434372663498,0.03917934000492096,-0.020277319476008415,-0.010091697797179222,0.015657348558306694,0.9996208548545837
vicon-crazyflie8,1761610719.3768756,0.020508261397480965,0.018665343523025513,0.03919030725955963,-0.020360132679343224,-0.010757477022707462,0.015685832127928734,0.9996117949485779
vicon-crazyflie8,1761610719.3806555,0.02051035687327385,0.018685124814510345,0.03920520842075348,-0.02046150341629982,-0.01055397279560566,0.015907226130366325,0.9996083974838257
vicon-crazyflie8,1761610719.3913548,0.02050345204770565,0.018679941073060036,0.03922747075557709,-0.0204671248793602,-0.01003380585461855,0.015631144866347313,0.9996179938316345
vicon-crazyflie8,1761610719.400573,0.020520685240626335,0.018682001158595085,0.03917873650789261,-0.020303675904870033,-0.010400092229247093,0.01568085514008999,0.999616801738739
vicon-crazyflie8,1761610719.4109452,0.020516762509942055,0.01867086999118328,0.03917645663022995,-0.020007062703371048,-0.010397026315331459,0.015759585425257683,0.999621570110321
vicon-crazyflie8,1761610719.4269195,0.020536065101623535,0.018673546612262726,0.03914938122034073,-0.019966231659054756,-0.01049162819981575,0.015511172823607922,0.9996252655982971
vicon-crazyflie8,1761610719.4309075,0.020553581416606903,0.018685586750507355,0.039154767990112305,-0.020203493535518646,-0.011648646555840969,0.015635060146450996,0.9996057748794556
vicon-crazyflie8,1761610719.441926,0.020560311153531075,0.01867978274822235,0.039129167795181274,-0.019821099936962128,-0.012204114347696304,0.015484181232750416,0.999609112739563
vicon-crazyflie8,1761610719.4507458,0.02055099792778492,0.018664680421352386,0.03912216052412987,-0.020431390032172203,-0.011229315772652626,0.015305486507713795,0.9996110200881958
vicon-crazyflie8,1761610719.4606123,0.020519329234957695,0.01865776814520359,0.039156924933195114,-0.020254697650671005,-0.01062926184386015,0.015514630824327469,0.9996179342269897
vicon-crazyflie8,1761610719.4708762,0.020497601479291916,0.018661780282855034,0.039192330092191696,-0.020507099106907845,-0.010077513754367828,0.015544724650681019,0.9996180534362793
vicon-crazyflie8,1761610719.4807944,0.020496297627687454,0.018667973577976227,0.039226848632097244,-0.020904788747429848,-0.010171061381697655,0.01542957779020071,0.9996106624603271
vicon-crazyflie8,1761610719.4950852,0.02048850990831852,0.018672462552785873,0.039236582815647125,-0.020595407113432884,-0.010170056484639645,0.015498986467719078,0.9996160268783569
vicon-crazyflie8,1761610719.5005498,0.020485540851950645,0.018680814653635025,0.03925798833370209,-0.021292928606271744,-0.01004070695489645,0.015487942844629288,0.9996028542518616
vicon-crazyflie8,1761610719.5108223,0.020483486354351044,0.018671821802854538,0.03921504691243172,-0.020546909421682358,-0.010619678534567356,0.015538581646978855,0.9996117353439331
vicon-crazyflie8,1761610719.5208092,0.02049611136317253,0.018665067851543427,0.03919556736946106,-0.020431935787200928,-0.009861420840024948,0.01566421054303646,0.9996199011802673
vicon-crazyflie8,1761610719.5327923,0.020506849512457848,0.01866389811038971,0.039169855415821075,-0.02038017101585865,-0.01042070984840393,0.015532109886407852,0.999617338180542
vicon-crazyflie8,1761610719.5407135,0.020547783002257347,0.018681395798921585,0.039152245968580246,-0.019905410706996918,-0.00933582428842783,0.015420714393258095,0.9996393322944641
